Title,Bedrooms,Bathrooms,Full_Location,lat,lon,dist_to_lekki,dist_to_ikeja,Location,Is_Island,Prop_Type,Has_Pool,Has_BQ,New_Build,Bathroom_per_Bedroom,In_Estate,Neighborhood_Tier,Island_x_Beds,Luxury_Score,Price
2 Bedroom Apartment,2,0,Lekki Phase 1 Lekki Lagos,6.4711251,3.8147504,39.0638334712576,53.23478511464151,Lekki,1,Flat,0,0,0,0.0,0,4,2,0,250000000.0
5 Bedroom Detached Duplex With Bq,5,5,2nd Toll Gate Lekki Lagos,6.4711251,3.8147504,39.0638334712576,53.23478511464151,Lekki,1,Detached Duplex,0,1,0,1.0,0,4,5,0,680000000.0
5 Bedroom Detached Duplex,5,5,"Lekki County, Megamound Estate Ikota Lekki Lagos",6.4711251,3.8147504,39.0638334712576,53.23478511464151,Lekki,1,Detached Duplex,0,0,0,1.0,0,4,5,0,600000000.0
5 Bedroom Detached Duplex With Bq,5,5,Ajah Lagos,6.4694716,3.5623861,11.300377211002502,27.53491907587076,Ajah,1,Detached Duplex,0,1,0,1.0,0,4,5,0,300000000.0
Brand New 5 Bedroom Detached Duplex,5,5,Lekki Phase 1 Lekki Lagos,6.4711251,3.8147504,39.0638334712576,53.23478511464151,Lekki,1,Detached Duplex,0,0,1,1.0,0,4,5,1,1000000000.0
4 Bedroom Semi Detached Duplex,4,4,2nd Toll Gate Lekki Lagos,6.4711251,3.8147504,39.0638334712576,53.23478511464151,Lekki,1,Detached Duplex,0,0,0,1.0,0,4,4,0,260000000.0
Stunning 4 Bedroom Semi Detached Duplex,4,4,Ajah Lagos,6.4694716,3.5623861,11.300377211002502,27.53491907587076,Ajah,1,Detached Duplex,0,0,0,1.0,0,4,4,0,145000000.0
4 Bedroom Semi Detached Duplex,4,4,Chevron Lekki Lagos,6.4711251,3.8147504,39.0638334712576,53.23478511464151,Lekki,1,Detached Duplex,0,0,0,1.0,0,4,4,0,250000000.0
4 Bedroom Detached Duplex,4,4,Orchid Lekki Lagos,6.4711251,3.8147504,39.0638334712576,53.23478511464151,Lekki,1,Detached Duplex,0,0,0,1.0,0,4,4,0,240000000.0
4 Bedroom Detached Duplex,4,4,Ajah Lagos,6.4694716,3.5623861,11.300377211002502,27.53491907587076,Ajah,1,Detached Duplex,0,0,0,1.0,0,4,4,0,220000000.0
